pillar,occupation,n_skills,n_groups,exposure,pct_2023,pct_2026,change_pp
education,Marketing Managers,23,3,0.512,5.37,5.47,0.1
education,Human Resources Managers,23,3,0.512,6.22,5.7,-0.52
education,Financial Managers,23,3,0.512,4.79,4.64,-0.15
engineering and engineering trades,All,160,8,0.511,6.96,11.46,4.5
engineering and engineering trades,Marketing Managers,160,8,0.511,8.56,12.03,3.47
engineering and engineering trades,Human Resources Managers,160,8,0.511,4.91,12.38,7.47
engineering and engineering trades,Financial Managers,160,8,0.511,5.45,9.88,4.43
environment,All,13,2,0.515,1.6,1.88,0.28
environment,Marketing Managers,13,2,0.515,1.42,1.73,0.31
environment,Human Resources Managers,13,2,0.515,2.25,3.11,0.86
environment,Financial Managers,13,2,0.515,1.6,1.61,0.01
follow ethical code of conduct,All,11,1,0.302,0.63,1.07,0.44
follow ethical code of conduct,Marketing Managers,11,1,0.302,0.39,0.54,0.15
follow ethical code of conduct,Human Resources Managers,11,1,0.302,0.82,0.45,-0.37
follow ethical code of conduct,Financial Managers,11,1,0.302,0.91,2.41,1.5
health,All,176,7,0.489,8.59,9.94,1.35
health,Marketing Managers,176,7,0.489,9.08,10.13,1.05
health,Human Resources Managers,176,7,0.489,11.95,12.85,0.9
health,Financial Managers,176,7,0.489,6.45,8.2,1.75
humanities (except languages),All,19,3,0.497,3.36,6.84,3.48
humanities (except languages),Marketing Managers,19,3,0.497,2.95,5.5,2.55
humanities (except languages),Human Resources Managers,19,3,0.497,5.49,11.29,5.8
humanities (except languages),Financial Managers,19,3,0.497,3.07,7.47,4.4
hygiene and occupational health services,All,27,2,0.433,0.76,1.11,0.35
hygiene and occupational health services,Marketing Managers,27,2,0.433,0.63,1.06,0.43
hygiene and occupational health services,Human Resources Managers,27,2,0.433,2.46,2.48,0.02
hygiene and occupational health services,Financial Managers,27,2,0.433,0.23,0.59,0.36
information and communication technologies (icts),All,250,4,0.582,22.4,31.27,8.87
information and communication technologies (icts),Marketing Managers,250,4,0.582,27.01,34.21,7.2
information and communication technologies (icts),Human Resources Managers,250,4,0.582,17.6,28.43,10.83
information and communication technologies (icts),Financial Managers,250,4,0.582,17.6,26.67,9.07
journalism and information,All,22,2,0.625,5.46,8.69,3.23
journalism and information,Marketing Managers,22,2,0.625,7.38,12.04,4.66
journalism and information,Human Resources Managers,22,2,0.625,6.67,5.99,-0.68
journalism and information,Financial Managers,22,2,0.625,2.09,3.18,1.09
language skills and knowledge,All,51,2,0.505,4.1,4.17,0.07
language skills and knowledge,Marketing Managers,51,2,0.505,4.14,4.02,-0.12
language skills and knowledge,Human Resources Managers,51,2,0.505,5.89,4.19,-1.7
language skills and knowledge,Financial Managers,51,2,0.505,3.28,4.47,1.19
languages,All,30,2,0.536,2.06,2.35,0.29
languages,Marketing Managers,30,2,0.536,2.73,2.68,-0.05
languages,Human Resources Managers,30,2,0.536,1.23,2.75,1.52
languages,Financial Managers,30,2,0.536,1.43,1.49,0.06
law,All,66,1,0.509,5.95,5.76,-0.19
law,Marketing Managers,66,1,0.509,2.72,3.65,0.93
