group,occupation,n_skills,exposure,pct_2023,pct_2026,change_pp
assisting people with mobility,Marketing Managers,4,0.435,0.72,0.48,-0.24
assisting people with mobility,Human Resources Managers,4,0.435,1.51,2.07,0.56
assisting people with mobility,Financial Managers,4,0.435,0.59,0.48,-0.11
assume responsibility,All,3,0.37,2.88,1.94,-0.94
assume responsibility,Marketing Managers,3,0.37,3.01,1.92,-1.09
assume responsibility,Human Resources Managers,3,0.37,2.82,1.91,-0.91
assume responsibility,Financial Managers,3,0.37,2.7,1.99,-0.71
assure quality of processes and products,All,8,0.516,1.03,1.06,0.03
assure quality of processes and products,Marketing Managers,8,0.516,0.55,0.64,0.09
assure quality of processes and products,Human Resources Managers,8,0.516,0.9,2.06,1.16
assure quality of processes and products,Financial Managers,8,0.516,1.8,1.45,-0.35
audio-visual techniques and media production,All,55,0.526,3.21,4.63,1.42
audio-visual techniques and media production,Marketing Managers,55,0.526,5.36,7.36,2.0
audio-visual techniques and media production,Human Resources Managers,55,0.526,1.19,1.01,-0.18
audio-visual techniques and media production,Financial Managers,55,0.526,0.87,0.83,-0.04
biology,All,22,0.506,1.98,2.3,0.32
biology,Marketing Managers,22,0.506,2.42,2.44,0.02
biology,Human Resources Managers,22,0.506,1.43,1.86,0.43
biology,Financial Managers,22,0.506,1.57,2.22,0.65
building and civil engineering,All,20,0.507,0.53,0.99,0.46
building and civil engineering,Marketing Managers,20,0.507,0.7,0.74,0.04
building and civil engineering,Human Resources Managers,20,0.507,0.57,3.32,2.75
building and civil engineering,Financial Managers,20,0.507,0.24,0.42,0.18
building and developing teams,All,11,0.37,3.52,3.91,0.39
building and developing teams,Marketing Managers,11,0.37,4.63,4.48,-0.15
building and developing teams,Human Resources Managers,11,0.37,4.13,4.49,0.36
building and developing teams,Financial Managers,11,0.37,1.6,2.49,0.89
care of the elderly and of disabled adults,All,12,0.468,7.82,10.0,2.18
care of the elderly and of disabled adults,Marketing Managers,12,0.468,5.64,8.94,3.3
care of the elderly and of disabled adults,Human Resources Managers,12,0.468,6.79,12.83,6.04
care of the elderly and of disabled adults,Financial Managers,12,0.468,11.48,10.81,-0.67
coaching and mentoring,All,29,0.415,3.38,2.19,-1.19
coaching and mentoring,Marketing Managers,29,0.415,3.13,1.81,-1.32
coaching and mentoring,Human Resources Managers,29,0.415,4.09,4.14,0.05
coaching and mentoring,Financial Managers,29,0.415,3.45,2.03,-1.42
"communication, collaboration and creativity",All,7,0.444,5.57,5.73,0.16
"communication, collaboration and creativity",Marketing Managers,7,0.444,7.5,6.76,-0.74
"communication, collaboration and creativity",Human Resources Managers,7,0.444,4.34,3.59,-0.75
"communication, collaboration and creativity",Financial Managers,7,0.444,3.22,4.64,1.42
complying with environmental protection laws and standards,All,27,0.5,6.22,4.66,-1.56
complying with environmental protection laws and standards,Marketing Managers,27,0.5,5.04,3.16,-1.88
complying with environmental protection laws and standards,Human Resources Managers,27,0.5,4.54,3.66,-0.88
complying with environmental protection laws and standards,Financial Managers,27,0.5,8.68,8.16,-0.52
complying with health and safety procedures,All,68,0.42,2.31,2.87,0.56
complying with health and safety procedures,Marketing Managers,68,0.42,1.47,2.08,0.61
complying with health and safety procedures,Human Resources Managers,68,0.42,5.16,5.33,0.17
complying with health and safety procedures,Financial Managers,68,0.42,2.35,3.29,0.94
complying with legal and organisational guidelines,All,81,0.502,12.43,12.91,0.48
complying with legal and organisational guidelines,Marketing Managers,81,0.502,7.49,10.34,2.85
complying with legal and organisational guidelines,Human Resources Managers,81,0.502,19.44,19.59,0.15
complying with legal and organisational guidelines,Financial Managers,81,0.502,16.78,14.97,-1.81
computer use,All,40,0.555,4.57,6.47,1.9
computer use,Marketing Managers,40,0.555,5.62,6.88,1.26
computer use,Human Resources Managers,40,0.555,3.07,8.74,5.67
computer use,Financial Managers,40,0.555,3.66,4.58,0.92
conducting investigations,All,88,0.562,9.1,7.11,-1.99
conducting investigations,Marketing Managers,88,0.562,6.46,7.36,0.9
conducting investigations,Human Resources Managers,88,0.562,7.53,6.65,-0.88
conducting investigations,Financial Managers,88,0.562,13.68,6.84,-6.84
"conducting studies, investigations and examinations",All,13,0.55,1.62,1.27,-0.35
"conducting studies, investigations and examinations",Marketing Managers,13,0.55,2.17,1.71,-0.46
"conducting studies, investigations and examinations",Human Resources Managers,13,0.55,0.08,0.33,0.25
"conducting studies, investigations and examinations",Financial Managers,13,0.55,1.46,0.82,-0.64
coordinating activities with others,All,113,0.415,24.93,30.13,5.2
coordinating activities with others,Marketing Managers,113,0.415,23.85,28.5,4.65
coordinating activities with others,Human Resources Managers,113,0.415,19.93,31.05,11.12
coordinating activities with others,Financial Managers,113,0.415,28.65,32.98,4.33
"counselling on personal, family or social issues",All,10,0.383,1.03,0.79,-0.24
"counselling on personal, family or social issues",Marketing Managers,10,0.383,0.43,0.45,0.02
"counselling on personal, family or social issues",Human Resources Managers,10,0.383,4.05,2.14,-1.91
"counselling on personal, family or social issues",Financial Managers,10,0.383,0.63,0.86,0.23
creating artistic designs or performances,All,38,0.483,4.85,7.86,3.01
creating artistic designs or performances,Marketing Managers,38,0.483,7.21,10.61,3.4
creating artistic designs or performances,Human Resources Managers,38,0.483,2.91,6.84,3.93
creating artistic designs or performances,Financial Managers,38,0.483,2.16,2.79,0.63
"creating artistic, visual or instructive materials",All,7,0.463,4.55,6.8,2.25
"creating artistic, visual or instructive materials",Marketing Managers,7,0.463,6.61,8.74,2.13
"creating artistic, visual or instructive materials",Human Resources Managers,7,0.463,0.98,3.34,2.36
"creating artistic, visual or instructive materials",Financial Managers,7,0.463,3.0,4.51,1.51
creating visual displays and decorations,All,30,0.522,1.45,2.33,0.88
creating visual displays and decorations,Marketing Managers,30,0.522,2.39,3.09,0.7
creating visual displays and decorations,Human Resources Managers,30,0.522,0.61,1.65,1.04
creating visual displays and decorations,Financial Managers,30,0.522,0.4,1.11,0.71
database and network design and administration,All,91,0.587,13.53,19.69,6.16
database and network design and administration,Marketing Managers,91,0.587,16.55,20.86,4.31
database and network design and administration,Human Resources Managers,91,0.587,11.67,17.01,5.34
database and network design and administration,Financial Managers,91,0.587,9.85,18.58,8.73
demonstrate consideration,All,12,0.359,4.06,4.87,0.81
demonstrate consideration,Marketing Managers,12,0.359,3.55,4.63,1.08
demonstrate consideration,Human Resources Managers,12,0.359,8.31,7.93,-0.38
demonstrate consideration,Financial Managers,12,0.359,3.0,3.92,0.92
demonstrate enthusiasm,All,4,0.5,1.35,1.36,0.01
demonstrate enthusiasm,Marketing Managers,4,0.5,1.52,1.5,-0.02
demonstrate enthusiasm,Human Resources Managers,4,0.5,1.39,1.09,-0.3
demonstrate enthusiasm,Financial Managers,4,0.5,1.06,1.22,0.16
designing ict systems or applications,All,23,0.589,1.3,3.3,2.0
designing ict systems or applications,Marketing Managers,23,0.589,1.88,3.34,1.46
designing ict systems or applications,Human Resources Managers,23,0.589,0.98,3.55,2.57
designing ict systems or applications,Financial Managers,23,0.589,0.58,3.09,2.51
designing systems and products,All,16,0.508,10.18,10.63,0.45
designing systems and products,Marketing Managers,16,0.508,14.99,13.89,-1.1
designing systems and products,Human Resources Managers,16,0.508,2.78,5.79,3.01
designing systems and products,Financial Managers,16,0.508,6.19,6.3,0.11
determining values of goods or services,All,12,0.5,0.97,1.13,0.16
determining values of goods or services,Marketing Managers,12,0.5,1.09,1.25,0.16
determining values of goods or services,Human Resources Managers,12,0.5,0.49,0.72,0.23
determining values of goods or services,Financial Managers,12,0.5,0.99,1.09,0.1
developing contingency and emergency response plans,All,17,0.523,0.84,0.67,-0.17
developing contingency and emergency response plans,Marketing Managers,17,0.523,0.36,0.4,0.04
developing contingency and emergency response plans,Human Resources Managers,17,0.523,1.23,1.18,-0.05
developing contingency and emergency response plans,Financial Managers,17,0.523,1.38,0.96,-0.42
developing educational programmes,All,22,0.482,4.08,3.57,-0.51
developing educational programmes,Marketing Managers,22,0.482,3.42,3.04,-0.38
developing educational programmes,Human Resources Managers,22,0.482,7.08,6.28,-0.8
developing educational programmes,Financial Managers,22,0.482,3.76,3.36,-0.4
"developing financial, business or marketing plans",All,59,0.509,26.73,26.86,0.13
"developing financial, business or marketing plans",Marketing Managers,59,0.509,38.41,33.47,-4.94
"developing financial, business or marketing plans",Human Resources Managers,59,0.509,10.19,13.46,3.27
"developing financial, business or marketing plans",Financial Managers,59,0.509,16.4,19.81,3.41
developing health programmes,All,14,0.519,0.3,0.9,0.6
developing health programmes,Marketing Managers,14,0.519,0.49,1.2,0.71
developing health programmes,Human Resources Managers,14,0.519,0.08,0.63,0.55
developing health programmes,Financial Managers,14,0.519,0.1,0.41,0.31
developing instructive or promotional materials,All,27,0.519,2.27,2.57,0.3
developing instructive or promotional materials,Marketing Managers,27,0.519,3.44,3.31,-0.13
developing instructive or promotional materials,Human Resources Managers,27,0.519,1.11,1.94,0.83
developing instructive or promotional materials,Financial Managers,27,0.519,1.03,1.36,0.33
developing objectives and strategies,All,18,0.507,6.94,7.84,0.9
developing objectives and strategies,Marketing Managers,18,0.507,8.14,9.07,0.93
developing objectives and strategies,Human Resources Managers,18,0.507,6.18,7.59,1.41
developing objectives and strategies,Financial Managers,18,0.507,5.47,5.5,0.03
developing operational policies and procedures,All,88,0.504,20.58,22.49,1.91
developing operational policies and procedures,Marketing Managers,88,0.504,15.8,17.3,1.5
developing operational policies and procedures,Human Resources Managers,88,0.504,26.69,30.7,4.01
developing operational policies and procedures,Financial Managers,88,0.504,25.1,29.13,4.03
developing professional relationships or networks,All,48,0.403,19.32,21.4,2.08
developing professional relationships or networks,Marketing Managers,48,0.403,20.31,21.96,1.65
developing professional relationships or networks,Human Resources Managers,48,0.403,13.47,18.24,4.77
developing professional relationships or networks,Financial Managers,48,0.403,20.36,21.76,1.4
developing research plans,All,9,0.529,1.15,1.05,-0.1
developing research plans,Marketing Managers,9,0.529,1.29,1.24,-0.05
developing research plans,Human Resources Managers,9,0.529,0.57,0.87,0.3
developing research plans,Financial Managers,9,0.529,1.19,0.77,-0.42
developing solutions,All,17,0.492,8.25,9.26,1.01
developing solutions,Marketing Managers,17,0.492,8.38,7.71,-0.67
developing solutions,Human Resources Managers,17,0.492,10.32,9.13,-1.19
developing solutions,Financial Managers,17,0.492,7.18,12.46,5.28
directing operational activities,All,126,0.477,16.21,19.03,2.82
directing operational activities,Marketing Managers,126,0.477,19.64,20.99,1.35
directing operational activities,Human Resources Managers,126,0.477,12.57,16.91,4.34
directing operational activities,Financial Managers,126,0.477,12.65,16.07,3.42
earth sciences,All,20,0.513,1.26,1.71,0.45
earth sciences,Marketing Managers,20,0.513,1.27,1.74,0.47
earth sciences,Human Resources Managers,20,0.513,1.23,1.13,-0.1
earth sciences,Financial Managers,20,0.513,1.27,1.91,0.64
economics,All,7,0.519,0.99,1.02,0.03
economics,Marketing Managers,7,0.519,1.1,1.06,-0.04
economics,Human Resources Managers,7,0.519,0.49,0.59,0.1
economics,Financial Managers,7,0.519,1.03,1.14,0.11
education science,All,12,0.5,4.3,4.14,-0.16
education science,Marketing Managers,12,0.5,4.57,4.46,-0.11
education science,Human Resources Managers,12,0.5,4.46,3.99,-0.47
education science,Financial Managers,12,0.5,3.83,3.59,-0.24
electronics and automation,All,52,0.517,4.63,7.97,3.34
electronics and automation,Marketing Managers,52,0.517,6.0,8.49,2.49
electronics and automation,Human Resources Managers,52,0.517,2.05,8.79,6.74
electronics and automation,Financial Managers,52,0.517,3.69,6.54,2.85
engaging with others to identify needs,All,20,0.422,10.2,12.49,2.29
engaging with others to identify needs,Marketing Managers,20,0.422,12.46,13.2,0.74
engaging with others to identify needs,Human Resources Managers,20,0.422,4.83,10.66,5.83
engaging with others to identify needs,Financial Managers,20,0.422,9.11,11.92,2.81
engineering and engineering trades not elsewhere classified,All,3,0.5,0.6,1.53,0.93
engineering and engineering trades not elsewhere classified,Marketing Managers,3,0.5,0.54,1.48,0.94
engineering and engineering trades not elsewhere classified,Human Resources Managers,3,0.5,0.04,2.15,2.11
engineering and engineering trades not elsewhere classified,Financial Managers,3,0.5,0.92,1.36,0.44
entering and transforming information,All,22,0.599,2.05,1.05,-1.0
entering and transforming information,Marketing Managers,22,0.599,0.62,0.89,0.27
entering and transforming information,Human Resources Managers,22,0.599,0.82,0.88,0.06
entering and transforming information,Financial Managers,22,0.599,4.69,1.46,-3.23
environmental sciences,All,9,0.5,1.57,1.85,0.28
environmental sciences,Marketing Managers,9,0.5,1.38,1.7,0.32
environmental sciences,Human Resources Managers,9,0.5,2.17,3.06,0.89
environmental sciences,Financial Managers,9,0.5,1.6,1.59,-0.01
estimating resource needs,All,12,0.532,3.09,3.93,0.84
estimating resource needs,Marketing Managers,12,0.532,3.55,2.9,-0.65
estimating resource needs,Human Resources Managers,12,0.532,0.82,1.78,0.96
estimating resource needs,Financial Managers,12,0.532,3.36,7.01,3.65
"evaluating systems, programmes, equipment and products",All,18,0.548,0.43,0.8,0.37
"evaluating systems, programmes, equipment and products",Marketing Managers,18,0.548,0.26,0.49,0.23
"evaluating systems, programmes, equipment and products",Human Resources Managers,18,0.548,1.23,1.27,0.04
"evaluating systems, programmes, equipment and products",Financial Managers,18,0.548,0.35,1.2,0.85
executing financial transactions,All,29,0.513,7.34,8.17,0.83
executing financial transactions,Marketing Managers,29,0.513,2.99,4.5,1.51
executing financial transactions,Human Resources Managers,29,0.513,1.35,2.36,1.01
executing financial transactions,Financial Managers,29,0.513,16.36,18.31,1.95
"finance, banking and insurance",All,37,0.518,17.27,15.65,-1.62
"finance, banking and insurance",Marketing Managers,37,0.518,8.75,7.59,-1.16
"finance, banking and insurance",Human Resources Managers,37,0.518,2.7,4.67,1.97
"finance, banking and insurance",Financial Managers,37,0.518,36.13,37.05,0.92
fisheries,All,6,0.5,0.54,1.04,0.5
fisheries,Marketing Managers,6,0.5,0.96,1.63,0.67
fisheries,Human Resources Managers,6,0.5,0.12,0.33,0.21
fisheries,Financial Managers,6,0.5,0.09,0.21,0.12
follow ethical code of conduct,All,11,0.382,0.63,1.07,0.44
follow ethical code of conduct,Marketing Managers,11,0.382,0.39,0.54,0.15
follow ethical code of conduct,Human Resources Managers,11,0.382,0.82,0.45,-0.37
follow ethical code of conduct,Financial Managers,11,0.382,0.91,2.41,1.5
following instructions and procedures,All,8,0.5,2.65,3.62,0.97
following instructions and procedures,Marketing Managers,8,0.5,3.13,3.42,0.29
following instructions and procedures,Human Resources Managers,8,0.5,3.4,5.64,2.24
following instructions and procedures,Financial Managers,8,0.5,1.62,3.07,1.45
gathering information from physical or electronic sources,All,31,0.601,5.15,6.11,0.96
gathering information from physical or electronic sources,Marketing Managers,31,0.601,5.91,7.61,1.7
gathering information from physical or electronic sources,Human Resources Managers,31,0.601,4.67,3.53,-1.14
gathering information from physical or electronic sources,Financial Managers,31,0.601,4.22,4.31,0.09
identifying opportunities,All,23,0.477,5.64,6.05,0.41
identifying opportunities,Marketing Managers,23,0.477,6.53,6.56,0.03
identifying opportunities,Human Resources Managers,23,0.477,3.52,5.42,1.9
identifying opportunities,Financial Managers,23,0.477,5.21,5.32,0.11
implementing new procedures or processes,All,23,0.477,3.82,3.76,-0.06
implementing new procedures or processes,Marketing Managers,23,0.477,4.32,3.1,-1.22
implementing new procedures or processes,Human Resources Managers,23,0.477,3.32,4.8,1.48
implementing new procedures or processes,Financial Managers,23,0.477,3.31,4.61,1.3
interpreting technical documentation and diagrams,All,15,0.517,0.61,0.73,0.12
interpreting technical documentation and diagrams,Marketing Managers,15,0.517,0.49,0.67,0.18
interpreting technical documentation and diagrams,Human Resources Managers,15,0.517,0.0,0.24,0.24
interpreting technical documentation and diagrams,Financial Managers,15,0.517,1.05,1.07,0.02
interviewing,All,13,0.51,4.85,4.95,0.1
interviewing,Marketing Managers,13,0.51,3.53,4.82,1.29
interviewing,Human Resources Managers,13,0.51,12.12,6.58,-5.54
interviewing,Financial Managers,13,0.51,3.71,4.46,0.75
journalism and reporting,All,14,0.546,5.01,8.35,3.34
journalism and reporting,Marketing Managers,14,0.546,7.01,11.71,4.7
journalism and reporting,Human Resources Managers,14,0.546,6.1,5.6,-0.5
journalism and reporting,Financial Managers,14,0.546,1.57,2.86,1.29
languages,All,50,0.5,4.03,4.05,0.02
languages,Marketing Managers,50,0.5,4.06,3.91,-0.15
languages,Human Resources Managers,50,0.5,5.77,4.02,-1.75
languages,Financial Managers,50,0.5,3.26,4.35,1.09
law,All,67,0.502,5.95,5.76,-0.19
law,Marketing Managers,67,0.502,2.72,3.65,0.93
law,Human Resources Managers,67,0.502,18.13,14.61,-3.52
law,Financial Managers,67,0.502,5.56,5.87,0.31
leading and motivating,All,25,0.382,13.12,15.2,2.08
leading and motivating,Marketing Managers,25,0.382,11.26,12.7,1.44
leading and motivating,Human Resources Managers,25,0.382,19.89,23.55,3.66
leading and motivating,Financial Managers,25,0.382,13.02,16.32,3.3
liaising and networking,All,6,0.398,0.41,0.55,0.14
liaising and networking,Marketing Managers,6,0.398,0.36,0.42,0.06
liaising and networking,Human Resources Managers,6,0.398,1.11,1.09,-0.02
liaising and networking,Financial Managers,6,0.398,0.19,0.57,0.38
literature and linguistics,All,20,0.545,1.84,2.03,0.19
literature and linguistics,Marketing Managers,20,0.545,2.49,2.32,-0.17
literature and linguistics,Human Resources Managers,20,0.545,1.02,2.43,1.41
literature and linguistics,Financial Managers,20,0.545,1.24,1.25,0.01
maintaining and enforcing physical security,All,35,0.5,2.73,4.99,2.26
maintaining and enforcing physical security,Marketing Managers,35,0.5,2.6,4.89,2.29
maintaining and enforcing physical security,Human Resources Managers,35,0.5,3.52,8.42,4.9
maintaining and enforcing physical security,Financial Managers,35,0.5,2.58,3.59,1.01
"maintaining electrical, electronic and precision equipment",All,27,0.505,0.66,0.65,-0.01
"maintaining electrical, electronic and precision equipment",Marketing Managers,27,0.505,0.32,0.36,0.04
"maintaining electrical, electronic and precision equipment",Human Resources Managers,27,0.505,2.33,1.12,-1.21
"maintaining electrical, electronic and precision equipment",Financial Managers,27,0.505,0.45,1.03,0.58
